nome,cpf,sexo,dia,mes,ano,dataChar,qtdReservas,qtdReservasAtivas
Aryana Bogado Janes,112.413.575-87,M,15,11,2003,15/11/2003,1,0
Arian Lalanda Brum,521.391.684-88,M,19,9,2006,19/09/2006,1,1
Arnaldo Cortàs Paredes,687.881.434-06,M,8,1,2008,08/01/2008,1,1
Muriel Palmeira Aleixo,783.001.622-40,M,25,12,2005,25/12/2005,1,1
Tamara Tavares Aveiro,913.736.551-78,F,22,8,2006,22/08/2006,1,1
George Abasto Rufino,373.375.184-12,M,26,12,2007,26/12/2007,1,1
L£cia Azambuja Lobo,347.444.819-65,F,29,11,2007,29/11/2007,2,2
Alycia Angelim Mangueira,384.437.631-32,F,28,6,2006,28/06/2006,1,1
Angelico Bernardes Bessa,676.426.236-58,M,19,12,2002,19/12/2002,1,1
Neuza Paz Matosinhos,735.167.566-08,F,26,2,2005,26/02/2005,1,1
Jer¢nimo Freire Dur∆o,678.939.423-04,M,25,4,2008,25/04/2008,1,1
Alana Gadelha Muxagata,926.002.456-00,F,5,3,2007,05/03/2007,1,1
Kushal Monte Pinheiro,565.592.530-31,M,23,8,2006,23/08/2006,1,1
Raissa Magalh∆es Bacelar,717.233.726-33,F,23,7,2002,23/07/2002,1,1
Darius Neves Pescada,771.717.255-02,M,9,6,2005,09/06/2005,1,1
Valentine Negr∆o Pedro,143.134.132-00,M,29,5,2006,29/05/2006,2,1
Yohan Castelhano Monforte,591.224.828-30,M,8,8,2003,08/08/2003,1,1
Alexandr DÉmaso Raminhos,576.616.384-36,M,30,4,2005,30/04/2005,1,1
Zlata Lampreia Infante,053.364.482-81,M,5,6,2002,05/06/2002,1,1
V†lter Cirne Mata,642.673.626-02,M,2,2,2005,02/02/2005,1,1
Lola Benevides Letras,629.144.168-30,M,23,12,2004,23/12/2004,2,2
Mateus Doutis Noronha,445.415.311-60,M,19,7,2005,19/07/2005,1,1
Nicolas Guedes ValÇrio,386.757.991-10,M,16,10,2004,16/10/2004,1,1
Lu°s Hernandes Balsem∆o,388.431.788-14,M,6,9,2008,06/09/2008,1,1
Louise Cabeáa de Vaca Condorcet,772.654.810-03,M,8,4,2003,08/04/2003,1,1
Benedita Barroca Camacho,481.375.710-35,F,14,10,2005,14/10/2005,1,0
Debora Salt∆o Eanes,300.925.889-56,F,2,2,2006,02/02/2006,1,1
Nour Caeiro Saloio,659.811.120-00,M,24,8,2005,24/08/2005,1,1
Dayra Souto Braga,433.822.012-08,F,4,10,2005,04/10/2005,1,0
David Janes Caláada,724.688.482-33,M,24,4,2008,24/04/2008,1,0
Caetana Sandinha Seabra,018.614.309-57,F,4,3,2006,04/03/2006,1,0
Lui Vidigal Monte,714.336.585-85,M,9,6,2006,09/06/2006,1,0
Mikaela Albuquerque Set£bal,712.373.492-06,F,12,4,2008,12/04/2008,1,0
Josefa Proenáa Veloso,301.775.432-48,M,8,6,2005,08/06/2005,1,0
Alexa Pedroso Quirino,236.889.964-29,F,28,1,2003,28/01/2003,1,0
Iago Rocha Santos Marques,057.455.911-61,M,21,10,2003,21/10/2003,1,1
Paulo Custos Vicosa,986.450.845-89,M,9,3,2010,09/03/2010,1,1
