IndiceVoo,numVoo,numVooRes,CPF,nomeCompleto,sexo,dataChar,diaNascimento,mesNascimento,anoNascimento,status
0,JEB-1234,GB-123456,112.413.575-87,Aryana Bogado Janes,M,15/11/2003,15,11,2003,0
0,JEB-1234,GB-923104,521.391.684-88,Arian Lalanda Brum,M,19/09/2006,19,9,2006,1
0,JEB-1234,GB-328128,687.881.434-06,Arnaldo Cortàs Paredes,M,08/01/2008,8,1,2008,1
0,JEB-1234,GB-102934,783.001.622-40,Muriel Palmeira Aleixo,M,25/12/2005,25,12,2005,1
0,JEB-1234,GB-134202,913.736.551-78,Tamara Tavares Aveiro,F,22/08/2006,22,8,2006,1
0,JEB-1234,GB-409132,373.375.184-12,George Abasto Rufino,M,26/12/2007,26,12,2007,1
0,JEB-1234,GB-132020,347.444.819-65,L£cia Azambuja Lobo,F,29/11/2007,29,11,2007,1
0,JEB-1234,GB-132892,384.437.631-32,Alycia Angelim Mangueira,F,28/06/2006,28,6,2006,1
0,JEB-1234,GB-132029,676.426.236-58,Angelico Bernardes Bessa,M,19/12/2002,19,12,2002,1
1,JEB-6666,GB-132082,735.167.566-08,Neuza Paz Matosinhos,F,26/02/2005,26,2,2005,1
1,JEB-6666,GB-132089,678.939.423-04,Jer¢nimo Freire Dur∆o,M,25/04/2008,25,4,2008,1
1,JEB-6666,GB-213190,926.002.456-00,Alana Gadelha Muxagata,F,05/03/2007,5,3,2007,1
1,JEB-6666,GB-132829,565.592.530-31,Kushal Monte Pinheiro,M,23/08/2006,23,8,2006,1
1,JEB-6666,GB-132030,717.233.726-33,Raissa Magalh∆es Bacelar,F,23/07/2002,23,7,2002,1
1,JEB-6666,GB-132013,771.717.255-02,Darius Neves Pescada,M,09/06/2005,9,6,2005,1
1,JEB-6666,GB-132817,143.134.132-00,Valentine Negr∆o Pedro,M,29/05/2006,29,5,2006,1
1,JEB-6666,GB-132813,591.224.828-30,Yohan Castelhano Monforte,M,08/08/2003,8,8,2003,1
1,JEB-6666,GB-123809,576.616.384-36,Alexandr DÉmaso Raminhos,M,30/04/2005,30,4,2005,1
2,JEB-0101,GB-321910,053.364.482-81,Zlata Lampreia Infante,M,05/06/2002,5,6,2002,1
2,JEB-0101,GB-320920,642.673.626-02,V†lter Cirne Mata,M,02/02/2005,2,2,2005,1
2,JEB-0101,GB-132934,629.144.168-30,Lola Benevides Letras,M,23/12/2004,23,12,2004,1
2,JEB-0101,GB-309109,445.415.311-60,Mateus Doutis Noronha,M,19/07/2005,19,7,2005,1
2,JEB-0101,GB-128482,386.757.991-10,Nicolas Guedes ValÇrio,M,16/10/2004,16,10,2004,1
2,JEB-0101,GB-132949,388.431.788-14,Lu°s Hernandes Balsem∆o,M,06/09/2008,6,9,2008,1
2,JEB-0101,GB-123934,772.654.810-03,Louise Cabeáa de Vaca Condorcet,M,08/04/2003,8,4,2003,1
2,JEB-0101,GB-132940,481.375.710-35,Benedita Barroca Camacho,F,14/10/2005,14,10,2005,0
2,JEB-0101,GB-489212,300.925.889-56,Debora Salt∆o Eanes,F,02/02/2006,2,2,2006,1
2,JEB-0101,GB-132010,659.811.120-00,Nour Caeiro Saloio,M,24/08/2005,24,8,2005,1
3,JEB-4321,GB-132811,433.822.012-08,Dayra Souto Braga,F,04/10/2005,4,10,2005,0
3,JEB-4321,GB-132842,724.688.482-33,David Janes Caláada,M,24/04/2008,24,4,2008,0
3,JEB-4321,GB-132042,018.614.309-57,Caetana Sandinha Seabra,F,04/03/2006,4,3,2006,0
3,JEB-4321,GB-321012,714.336.585-85,Lui Vidigal Monte,M,09/06/2006,9,6,2006,0
3,JEB-4321,GB-130242,712.373.492-06,Mikaela Albuquerque Set£bal,F,12/04/2008,12,4,2008,0
3,JEB-4321,GB-134124,301.775.432-48,Josefa Proenáa Veloso,M,08/06/2005,8,6,2005,0
3,JEB-4321,GB-137241,236.889.964-29,Alexa Pedroso Quirino,F,28/01/2003,28,1,2003,0
2,JEB-0101,GB-132091,347.444.819-65,L£cia Azambuja Lobo,F,29/11/2007,29,11,2007,1
4,JEB-1112,GB-142892,629.144.168-30,Lola Benevides Letras,M,23/12/2004,23,12,2004,1
4,JEB-1112,GB-120912,143.134.132-00,Valentine Negr∆o Pedro,M,29/05/2006,29,5,2006,0
7,JEB-3209,GB-328912,057.455.911-61,Iago Rocha Santos Marques,M,21/10/2003,21,10,2003,1
7,JEB-3209,GB-239912,986.450.845-89,Paulo Custos Vicosa,M,09/03/2010,9,3,2010,1
